"gene","lof_observed","mis_observed","prot_observed","lof_pValue","lof_qValue","mis_pValue","mis_qValue","prot_pValue","prot_qValue"
"ADNP",36,6,42,2.02e-82,3.962836e-78,0.000559,0.456935916666667,3.59e-51,3.521431e-47
"SCN2A",26,28,54,5.55e-39,1.814665e-35,2.12e-23,4.159016e-19,3.01e-54,5.905018e-50
"KMT2A",36,9,45,7.82e-53,7.670638e-49,0.0154,1,3.8e-30,1.490968e-26
"ASXL3",27,0,27,5.16e-52,3.374296e-48,1,1,3.03e-21,6.60472666666667e-18
"DDX3X",23,15,38,9.06e-47,3.5547816e-43,5.42e-15,2.658239e-11,1.58e-48,1.03321466666667e-44
"DYRK1A",23,5,28,1.94e-47,9.51473e-44,0.00151,1,7.41e-32,3.6342345e-28
"SETD5",20,5,25,1.95e-36,5.46501428571429e-33,0.0119,1,2.54e-22,7.11853142857143e-19
"POGZ",22,6,28,6.2e-35,1.520395e-31,0.00355,1,1.43e-24,4.67562333333333e-21
"CTNNB1",18,1,19,1.01e-34,2.20157555555556e-31,0.543,1,3.22e-19,4.85922769230769e-16
"CHD8",21,6,27,1.11e-32,2.177598e-29,0.0318,1,1.17e-18,1.63950428571429e-15
"AHDC1",13,4,17,6.95e-25,1.23950090909091e-21,0.217,1,1.23e-09,8.93708888888889e-07
"PPP2R5D",2,18,20,0.00412,1,6.28e-20,6.160052e-16,9.24e-22,2.265879e-18
"SUV420H1",12,3,15,2.83e-21,4.62657833333333e-18,0.0534,1,1.32e-13,1.36293473684211e-10
"CHD2",14,13,27,6.26e-18,8.18724533333333e-15,4.61e-08,8.22172545454546e-05,7.37e-21,1.4458466e-17
"TBL1XR1",5,12,17,8.69e-07,0.000448632684210526,1.49e-14,5.846164e-11,6.07e-20,1.08255690909091e-16
"KAT6B",13,3,16,1.46e-19,2.20325230769231e-16,0.333,1,2.37e-09,1.66052357142857e-06
"STXBP1",9,10,19,3.67e-13,3.27263909090909e-10,4.04e-09,8.80630222222222e-06,2.75e-19,4.49579166666667e-16
"ASH1L",15,1,16,3.7e-18,5.18475714285714e-15,0.939,1,3.54e-07,0.0002207025
"SLC6A1",5,12,17,3.65e-09,2.38685666666667e-06,1.06e-11,2.97072571428571e-08,7.07e-18,9.24661733333333e-15
"CSNK2A1",1,13,14,0.0658,1,6.93e-16,4.531758e-12,1.68e-16,2.05989e-13
"GATAD2B",10,2,12,4.21e-16,5.16198625e-13,0.138,1,5.22e-11,4.45243304347826e-08
"SATB2",9,7,16,1.06e-13,1.039754e-10,1.98e-05,0.0215798,8.16e-15,9.41664e-12
"GRIN2B",4,16,20,3.38e-06,0.00147352977777778,8.66e-11,2.1236485e-07,1.9e-14,2.07078888888889e-11
"KAT6A",10,5,15,2.98e-14,3.43892e-11,0.0614,1,2.35e-08,1.58973448275862e-05
"WAC",8,1,9,4.4e-14,4.79551111111111e-11,0.439,1,3.6e-08,2.35416e-05
"CHAMP1",7,1,8,4.96e-14,5.12133052631579e-11,0.522,1,1.7e-06,0.000877647368421053
"CUL3",10,2,12,1.57e-13,1.46667904761905e-10,0.171,1,7.23e-10,5.45531307692308e-07
"KANSL1",8,2,10,1.33e-12,1.13443217391304e-09,0.332,1,1.26e-06,0.00068663
"MYT1L",7,8,15,4.77e-12,3.8990775e-09,4.4e-05,0.0431596,1.33e-11,1.24247333333333e-08
"EEF1A2",0,12,12,1,1,5.78e-12,1.88986733333333e-08,1.25e-11,1.226125e-08
"DLG4",7,2,9,7.23e-12,5.6735256e-09,0.236,1,1.21e-06,0.000678222285714286
"MEF2C",4,7,11,2.09e-06,0.00100003951219512,9.66e-07,0.001353642,3.87e-11,3.45098454545455e-08
"CDK13",3,12,15,0.000455,0.146330983606557,6.84e-08,0.0001118226,2.88e-10,2.35416e-07
"CTCF",3,9,12,0.000107,0.0361918275862069,2.52e-07,0.000380287384615385,3.33e-10,2.6131176e-07
"KIAA2022",6,2,8,5.5e-10,4.14996153846154e-07,0.369,1,9.39e-05,0.0361202
"CASZ1",6,2,8,1.19e-09,8.64645185185185e-07,0.711,1,0.00524,1
"MSL3",5,0,5,1.79e-09,1.25415071428571e-06,1,1,0.000304,0.110442074074074
"USP9X",8,5,13,1.94e-09,1.31237655172414e-06,0.0759,1,2.93e-06,0.00140128571428571
"ANK2",9,6,15,6.32e-09,3.99954064516129e-06,0.165,1,3.49e-05,0.0149013319148936
"HNRNPU",7,2,9,7.76e-09,4.757365e-06,0.223,1,3e-06,0.00140128571428571
"BRAF",0,9,9,1,1,4.25e-08,8.22172545454546e-05,4.46e-07,0.000265140242424242
"WHSC1",5,2,7,1.22e-07,7.25271515151515e-05,0.452,1,0.00152,0.488841967213115
"UPF3B",5,1,6,2.08e-07,0.000120016,0.368,1,3.27e-05,0.0145797409090909
"CNKSR2",5,0,5,3.07e-07,0.000172077885714286,1,1,0.00447,1
"ZBTB18",4,2,6,3.29e-07,0.000179286722222222,0.126,1,6.92e-05,0.027151312
"SETD2",6,2,8,3.39e-07,0.000179743297297297,0.665,1,0.00467,1
"TCF7L2",4,5,9,1.58e-05,0.00584838490566038,0.000923,0.670644962962963,3.6e-07,0.0002207025
"ZMYND11",2,6,8,0.00239,0.669814571428571,6.05e-05,0.0539495,9.6e-07,0.00055392
"PHIP",5,7,12,3.58e-05,0.0130060074074074,0.00166,1,1.51e-06,0.000800626486486487
"SMARCC2",5,2,7,2.05e-06,0.00100003951219512,0.378,1,0.000958,0.318543118644068
"TBR1",4,3,7,2.05e-06,0.00100003951219512,0.0695,1,9.67e-05,0.0364819346153846
"QRICH1",4,0,4,2.16e-06,0.00100892571428571,1,1,0.011,1
"GABRB3",1,6,7,0.0519,1,1.88e-05,0.0215798,2.62e-06,0.00131792717948718
"SETBP1",4,4,8,2.78e-06,0.00126625272727273,0.0905,1,0.000512,0.179364571428571
"NAA15",5,2,7,2.84e-06,0.00126625272727273,0.152,1,4.33e-05,0.0176970708333333
"SCN8A",2,10,12,0.0179,1,3.91e-05,0.0403717789473684,2.98e-06,0.00140128571428571
"BRPF1",4,1,5,3.7e-06,0.00157796956521739,0.795,1,0.0285,1
"PHF12",4,2,6,4.07e-06,0.00169883531914894,0.321,1,0.00189,0.561788181818182
"CLTC",5,3,8,4.84e-06,0.00197814833333333,0.216,1,0.000629,0.212753827586207
"DSCAM",5,4,9,5.58e-06,0.00223404979591837,0.225,1,0.00173,0.538716507936508
"TCF12",4,1,5,7e-06,0.00274652,0.483,1,0.00124,0.405438666666667
"TRIO",1,14,15,0.262,1,1.62e-05,0.019863225,9.82e-06,0.00448020372093023
"HIST1H1E",2,0,2,1.1e-05,0.00423133333333333,1,1,0.0427,1
"KCNQ3",0,8,8,1,1,1.18e-05,0.0154328266666667,3.51e-05,0.0149013319148936
"YTHDF3",3,1,4,1.5e-05,0.00565903846153846,0.405,1,0.0027,0.767660869565217
"TRAF7",1,6,7,0.0614,1,0.000195,0.16632652173913,3.57e-05,0.0149013319148936
"ZNF292",4,4,8,4.31e-05,0.0153733781818182,0.158,1,0.00239,0.689515
"MEIS2",3,1,4,4.62e-05,0.01618485,0.443,1,0.00449,1
"UIMC1",0,6,6,1,1,5.12e-05,0.0478305523809524,0.000206,0.0762510943396226
"TRIP12",6,5,11,5.16e-05,0.0177594526315789,0.0416,1,6.19e-05,0.0247827387755102
"TAB2",3,1,4,0.000196,0.0651716610169491,0.462,1,0.0066,1
"SPEN",4,5,9,0.000201,0.0657203,0.369,1,0.0304,1
"GABRG2",1,4,5,0.122,1,0.00147,1,0.000416,0.148383418181818
"NRXN1",1,7,8,0.157,1,0.00154,1,0.000587,0.20203098245614
"DNM1",0,6,6,1,1,0.000663,0.52026936,0.00177,0.5425603125
"ENO3",2,0,2,0.000755,0.238896612903226,1,1,0.105,1
"PACS2",0,6,6,1,1,0.000768,0.579485538461538,0.0018,0.543267692307692
