Gene	fisher_LGD	fisher_MIS30	ch_dnLGD	ch_dnMIS	ch_dnMIS30	ch_dnALT	dy_dnLGD	dy_dnMIS	dy_dnALT
ADAP1	0.37543628	0	0	10.23714327	2.76879075	10.65136979	0	0.341476714	0.383664003
ADNP	11.36614105	0.315249074	69.57254148	1.017768085	0	42.91296975	77.7030239	1.187820167	46.75431081
AGO3	0	0	0	0.063518475	2.167208872	0.078905275	0	0.015834058	0.031030681
AHDC1	0.870031579	0.050048674	14.46235491	0	0	4.815205496	21.04145172	0	6.365628185
AHNAK	1.610089254	0.814283201	0	0	0	0	0	0	0
ANK2	2.31864151	1.472385859	2.776541963	0	0	0	5.677480203	0	1.853961551
ARID2	0.474737059	0.378945277	0.12262404	0	0	0	1.034886209	0	0.18091157
ASH1L	2.060829625	0.590385401	17.60259618	0	0	5.448267662	14.53708355	0	4.10282468
ASXL3	3.1891346	0.111526815	33.57363658	0	0	8.891594429	47.69366557	0	17.52693264
BRAF	0.136195783	1.472385859	0	8.808857847	1.076965932	8.706087011	0	4.58637272	4.02649336
BRPF1	1.675317745	0.329747157	2.855120606	0	0	0.575209386	3.112271399	0	0.217702111
CACNA2D3	0.722597604	0.343184876	0.148593396	0	0	0	0.046070057	0	0
CASZ1	0.181667394	0.512230873	3.725302958	0	0	0.193781093	6.356074178	0	0.627500472
CDK13	0.293392083	0.217337292	1.391388926	5.753936133	5.715669119	8.453787453	1.261521478	4.474349159	6.946922786
CHAMP1	2.060829625	0.190578369	6.305126883	0	0	1.272706319	10.51701357	0	3.506280126
CHD2	1.719532447	0.921267073	13.13281946	0.723280923	2.371927556	7.970907738	15.88722952	4.585350914	18.21754298
CHD8	6.89835186	0.512230873	31.07249154	0.543981041	0.280446513	18.89847633	28.80815033	0.128866678	15.08631744
CLTC	0.734538849	0.63538812	2.614677888	0	0	1.829087326	1.817416729	0	0.811861335
CNKSR2	0.04970811	0.315249074	4.678503709	0	0	1.182224527	4.089438614	0	0.672987798
