gene	mip_case	mip_case_lof	mip_case_mis30	exac_lof	exac_mis30
ADNP	19847	28	3	1	3
ASH1L	19847	10	39	4	65
CHD2	19847	8	17	3	18
CHD8	19847	25	21	5	32
CTNNB1	19847	10	5	0	11
CUL3	19847	8	8	6	10
DDX3X	19847	10	7	1	0
DSCAM	19847	11	43	3	64
DYRK1A	19847	16	8	2	9
GIGYF2	19847	3	12	2	25
GRIN2B	19847	14	14	0	6
KATNAL2	19847	10	17	16	15
NFIA	19847	5	3	0	2
PAX5	19847	2	6	0	6
PHIP	19847	10	18	6	24
POGZ	19847	16	13	2	10
PPP2R5D	19847	0	11	4	8
RELN	19847	11	45	4	78
SCN2A	19847	33	25	1	11
SETBP1	19847	6	9	2	14
SETD5	19847	15	19	3	12
SLC6A1	19847	1	18	0	9
SMARCC2	19847	7	4	1	7
STXBP1	19847	5	11	4	8
TBL1XR1	19847	0	2	0	1
TBR1	19847	5	3	1	6
TCF7L2	19847	1	10	9	7
TNRC6B	19847	10	12	6	16
TRIO	19847	11	22	3	35
TRIP12	19847	7	16	3	25
WAC	19847	9	12	2	14
ZC3H4	19847	1	13	1	14
ZMYND11	19847	3	6	1	8
AHNAK	19538	26	11	30	10
ANK2	19538	17	61	11	86
DLG4	19538	7	7	2	11
EPHB2	19538	3	37	2	53
GABRB3	19538	2	3	0	7
KMT2E	19538	9	10	5	15
NAA15	19538	13	6	4	10
NCKAP1	19538	3	6	0	23
NCOR1	19538	7	28	10	33
PHF7	19538	9	3	6	6
SHANK2	19538	15	8	24	10
SIN3A	19538	8	12	0	20
KMT5B	19538	7	8	1	2
UIMC1	19538	12	0	19	2
ASXL3	19077	11	3	2	7
CACNA2D3	19077	5	20	4	37
ILF2	19077	1	0	2	3
KMT2A	19077	13	29	3	42
MYT1L	19077	7	10	2	17
NR2E3	19077	2	0	2	0
NRXN1	19077	7	24	4	33
PASK	19077	41	9	50	12
NSD2	19077	3	8	4	16
ZMYM2	19077	11	4	5	5
ZNF292	19077	9	0	5	6
SETD2	18374	8	7	9	20
MYH9	18065	1	33	3	108
WNT7B	18065	2	5	6	10
WNT9A	18065	0	5	0	9
ADAP1	16294	2	0	2	7
AGO3	16294	0	1	1	7
AHDC1	16294	3	4	1	14
ARID2	16294	4	4	5	5
BRAF	16294	1	11	2	7
BRPF1	16294	5	13	2	27
CASZ1	16294	2	28	4	56
CDK13	16294	4	6	10	13
CHAMP1	16294	6	1	1	1
CLTC	16294	4	11	3	15
CNKSR2	16294	1	2	4	2
CSNK2A1	16294	5	2	3	3
CTCF	16294	3	8	1	5
DDX23	16294	2	7	5	6
DLX3	16294	0	3	2	9
DNM1	16294	4	10	3	15
EEF1A2	16294	0	3	0	2
EIF3B	16294	0	4	0	13
ENO3	16294	11	20	22	29
FOXP2	16294	2	0	5	2
GABRG2	16294	2	3	2	7
GATAD2B	16294	2	4	2	10
H1-4	16294	1	0	5	0
H2AC6	16294	0	1	2	2
HNRNPF	16294	1	0	3	0
HNRNPK	16294	1	1	0	2
HNRNPR	16294	0	2	1	7
HNRNPU	16294	8	0	2	0
HNRNPUL1	16294	1	2	1	3
KANSL1	16294	7	11	6	16
KAT6A	16294	8	7	3	24
KAT6B	16294	5	15	3	22
KCNQ3	16294	1	12	8	13
NEXMIF	16294	6	3	2	3
KIF5C	16294	9	6	16	11
LEO1	16294	2	11	3	15
MAPK3	16294	1	6	2	11
MEF2C	16294	3	2	8	2
MEF2D	16294	0	6	1	21
MEIS2	16294	1	0	4	2
MSL3	16294	2	1	1	1
PACS2	16294	2	9	4	21
PHF12	16294	6	8	2	17
QRICH1	16294	1	4	0	5
RANBP2	16294	2	7	7	10
SATB2	16294	5	4	1	7
SCN8A	16294	4	10	5	19
SF3B1	16294	1	2	2	4
SMARCD1	16294	1	1	1	8
SPEN	16294	9	31	6	57
TAB2	16294	1	0	0	2
TAF1	16294	2	8	3	6
TCF12	16294	9	12	8	18
TNPO2	16294	2	0	1	4
TRAF7	16294	2	4	12	4
U2AF2	16294	0	1	1	1
UBTF	16294	1	0	0	8
UPF3B	16294	3	3	1	4
USP9X	16294	1	5	0	10
VEZF1	16294	1	0	1	3
WDR26	16294	1	5	0	4
YTHDF3	16294	3	0	7	0
ZBTB18	16294	8	3	0	2
