,gene,mip_case,mip_case_lof,mip_case_mis30,exac_lof,exac_mis30,Fisher_LGDp,Fisher_MIS30p,Fisher_LGDq,Fisher_MIS30q
1,ADNP,19847,28,3,1,3,6.88618883262138e-14,0.263677515061426,4.30386802038836e-12,0.489576868884295
2,ASH1L,19847,10,39,4,65,0.00187769100609871,0.0737663997573799,0.00869301391712366,0.260062712037516
3,CHD2,19847,8,17,3,18,0.00473063274537546,0.0183982278025441,0.0190751320378043,0.119434317543877
4,CHD8,19847,25,21,5,32,3.03290901162049e-09,0.0976827616231234,1.2637120881752e-07,0.30537186825972
5,CTNNB1,19847,10,5,0,11,6.7960378453058e-06,0.565053285357006,0.000106188091332903,0.743491164943429
6,CUL3,19847,8,8,6,10,0.0341929329795841,0.150119206720742,0.0827455188043671,0.366205414712358
7,DDX3X,19847,10,7,1,0,5.40836972488903e-05,0.000241400937981579,0.00061458746873739,0.00920325781831125
8,DSCAM,19847,11,43,3,64,0.000283132291115811,0.0200649653473713,0.00221197102434227,0.119434317543877
9,DYRK1A,19847,16,8,2,9,4.19682708759242e-07,0.112147730871861,8.74338976581754e-06,0.330725553308756
10,GIGYF2,19847,3,12,2,25,0.168799818735083,0.456455395740256,0.317154668654243,0.644129590086805
11,GRIN2B,19847,14,14,0,6,5.81743628738413e-08,0.00030751316317911,1.81794883980754e-06,0.00920325781831125
12,KATNAL2,19847,10,17,16,15,0.244634953620847,0.00613370802633248,0.407724922701412,0.0828013959251471
13,NFIA,19847,5,3,0,2,0.00260806400046373,0.168799818735083,0.0116431428592131,0.398112780035573
14,PAX5,19847,2,6,0,6,0.0925918952839159,0.124752805958512,0.189409778318971,0.339002190104652
15,PHIP,19847,10,18,6,24,0.0079564900170396,0.059645597427216,0.0255015705674346,0.237634330268197
16,POGZ,19847,16,13,2,10,4.19682708759242e-07,0.00824308963242454,8.74338976581754e-06,0.0858655170044223
17,PPP2R5D,19847,0,11,4,8,1,0.0118042870781085,1,0.105395420340254
18,RELN,19847,11,45,4,78,0.000768207376289879,0.0842615722181896,0.00480129610181174,0.2846674737101
19,SCN2A,19847,33,25,1,11,2.09087372711534e-16,1.62577892269992e-06,2.61359215889417e-14,0.00020322236533749
20,SETBP1,19847,6,9,2,14,0.0121724246441266,0.243363916939089,0.0353849553608331,0.475320150271658
21,SETD5,19847,15,19,3,12,5.28453793090819e-06,0.00036813031273245,9.43667487662177e-05,0.00920325781831125
